Restaurant_ID,Restaurant_Name,Cuisine,City,Food_Item,Holiday,Weather,Weekend,Year,Quarter,Month,Day,Sum of Customers,Unsold_Quantity,Waste_Per_Customer,Waste_Percentage,Sales_Percentage,Sum of Remaining_Quantity,Sum of Prepared_Quantity,Sum of Discount_Percent,Sum of Sold_Quantity,Sum of Temperature_C,Sum of Waste_Amount_kg
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,No,2025,Qtr 1,January,23,85,29,0.101294118,4.220588235,85.78431373,29,204,20,175,35,8.61
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,No,2025,Qtr 3,July,14,79,63,0.203797468,6.939655172,72.84482759,63,232,10,169,26,16.1
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,No,2025,Qtr 3,August,27,143,36,0.069300699,5.082051282,81.53846154,36,195,15,159,29,9.91
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,No,2025,Qtr 4,November,21,47,64,0.337659574,11.17605634,54.92957746,64,142,5,78,32,15.87
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,Yes,2025,Qtr 2,May,18,135,27,0.037777778,3.566433566,81.11888112,27,143,5,116,33,5.1
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,Yes,2025,Qtr 2,May,31,106,42,0.077924528,3.116981132,84.1509434,42,265,10,223,39,8.26
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,Yes,2025,Qtr 2,June,29,226,12,0.016946903,1.850241546,94.20289855,12,207,15,195,36,3.83
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Cloudy,Yes,2025,Qtr 4,November,22,190,0,0,0,100,0,294,20,294,26,0
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Rainy,No,2025,Qtr 3,July,17,17,28,0.477647059,13.09677419,54.83870968,28,62,5,34,40,8.12
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Rainy,No,2025,Qtr 3,August,4,204,53,0.054558824,4.280769231,79.61538462,53,260,25,207,35,11.13
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Rainy,No,2025,Qtr 4,December,2,14,31,0.547142857,15.32,38,31,50,15,19,24,7.66
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Rainy,No,2025,Qtr 4,December,16,52,4,0.016923077,0.778761062,96.46017699,4,113,15,109,33,0.88
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Rainy,Yes,2025,Qtr 4,November,29,50,16,0.0644,4.805970149,76.11940299,16,67,5,51,23,3.22
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,No,2025,Qtr 1,January,15,31,19,0.110967742,4.914285714,72.85714286,19,70,10,51,37,3.44
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,No,2025,Qtr 1,February,26,61,43,0.211311475,8.709459459,70.94594595,43,148,5,105,23,12.89
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,No,2025,Qtr 2,June,10,98,79,0.188877551,6.295918367,73.1292517,79,294,20,215,22,18.51
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,No,2025,Qtr 3,July,30,137,23,0.041313869,2.058181818,91.63636364,23,275,25,252,34,5.66
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,No,2025,Qtr 3,August,22,101,37,0.06990099,3.427184466,82.03883495,37,206,0,169,40,7.06
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,No,2025,Qtr 3,September,18,137,69,0.104963504,4.841750842,76.76767677,69,297,0,228,37,14.38
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,No,2025,Qtr 4,October,7,77,9,0.035064935,2.673267327,91.08910891,9,101,25,92,32,2.7
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,Yes,2025,Qtr 1,March,16,55,0,0,0,100,0,64,15,64,34,0
R001,Spice Garden,Chinese,Chennai,Fried Rice,No,Sunny,Yes,2025,Qtr 4,October,12,38,0,0,0,100,0,79,20,79,36,0
R001,Spice Garden,Chinese,Chennai,Fried Rice,Yes,Cloudy,No,2025,Qtr 4,November,7,135,56,0.127111111,7.364806867,75.96566524,56,233,0,177,28,17.16
R001,Spice Garden,Chinese,Chennai,Fried Rice,Yes,Rainy,No,2025,Qtr 2,May,8,214,55,0.063130841,5.95154185,75.77092511,55,227,25,172,30,13.51
R001,Spice Garden,Chinese,Chennai,Fried Rice,Yes,Rainy,No,2025,Qtr 4,October,23,107,9,0.02682243,1.952380952,93.87755102,9,147,10,138,23,2.87
R001,Spice Garden,Chinese,Chennai,Fried Rice,Yes,Sunny,Yes,2025,Qtr 2,June,22,46,0,0,0,100,0,93,25,93,32,0
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Cloudy,No,2025,Qtr 2,June,24,29,24,0.285172414,11.81428571,65.71428571,24,70,5,46,31,8.27
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Cloudy,No,2025,Qtr 2,June,26,188,50,0.054361702,3.729927007,81.75182482,50,274,20,224,34,10.22
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Cloudy,No,2025,Qtr 3,August,25,151,17,0.024238411,2.407894737,88.81578947,17,152,20,135,29,3.66
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Cloudy,No,2025,Qtr 4,October,6,133,46,0.10075188,8.701298701,70.12987013,46,154,0,108,22,13.4
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Rainy,No,2025,Qtr 3,August,5,84,61,0.219047619,10.76023392,64.32748538,61,171,5,110,30,18.4
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Rainy,No,2025,Qtr 4,October,15,39,25,0.204358974,7.81372549,75.49019608,25,102,10,77,36,7.97
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Rainy,Yes,2025,Qtr 2,May,24,73,54,0.257123288,9.292079208,73.26732673,54,202,10,148,32,18.77
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Rainy,Yes,2025,Qtr 4,November,15,87,43,0.14954023,8.080745342,73.29192547,43,161,20,118,23,13.01
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Sunny,No,2025,Qtr 1,January,9,73,43,0.200547945,8.043956044,76.37362637,43,182,5,139,31,14.64
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Sunny,No,2025,Qtr 1,January,28,111,51,0.127567568,5.039145907,81.85053381,51,281,20,230,22,14.16
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Sunny,No,2025,Qtr 1,March,6,101,69,0.144356436,6.845070423,67.6056338,69,213,0,144,37,14.58
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Sunny,No,2025,Qtr 2,April,9,62,36,0.166451613,7.818181818,72.72727273,36,132,20,96,25,10.32
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Sunny,No,2025,Qtr 2,May,7,83,72,0.230240964,8.686363636,67.27272727,72,220,0,148,28,19.11
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Sunny,No,2025,Qtr 4,October,10,68,72,0.235588235,7.416666667,66.66666667,72,216,15,144,37,16.02
R001,Spice Garden,Chinese,Chennai,Manchurian,No,Sunny,No,2025,Qtr 4,November,11,199,71,0.097788945,6.619047619,75.85034014,71,294,10,223,32,19.46
